# Current all-game CFR GOTO baseline.
# Generated from .work/games/*/classes with:
#   JAVA_TOOLS_DIR=/home/kreijstal/git/java-tools node scripts/pipeline/bulk-pipeline.js <game>/classes <out> --profile none --safe-bytecode
#   java -jar lib/cfr.jar <out>/*.class --outputdir <cfr>
# Counts are: game, ** GOTO marker lines, Unable-to-structure marker lines, classes with either marker.
36cardtrick	0	1	1
aceofskies	10	2	2
arcanistsmulti	8	6	5
armiesofgielinor	12	5	5
bachelorfridge	0	2	2
bouncedown	0	1	1
brickabrac	24	8	7
chess	4	3	3
confined	2	2	2
crazycrystals	0	1	1
drphlogistonsavestheearth	3	2	2
dungeonassault	3	4	2
escapevector	3	2	2
fleacircus	8	2	2
geoblox	9	4	2
holdtheline	5	5	5
hostilespawn_vengeance	8	5	5
kickabout	14	7	7
lexicominos	0	1	1
minerdisturbance	3	3	3
monkeypuzzle2	4	4	4
orbdefence	2	2	2
pixelate	7	4	4
pool	2	2	2
shatteredplans	21	13	12
solknight	0	1	1
starcannon	0	1	1
steelsentinels	98	16	5
stellarshard	0	1	1
sumoblitz	0	1	1
terraphoenix	5	4	4
tetralink	3	3	3
tombracer	6	7	7
torchallenge	8	3	3
torquing	0	1	1
trackcontroller	0	1	1
transmogrify	4	2	2
vertigo2	0	1	1
virogrid	11	5	5
voidhunters	63	20	18
wizardrun	22	3	3
zombiedawn	2	3	3
zombiedawnmulti	0	1	1
