# Target baseline: every canonical safe-pipeline game decompiles and javac-compiles cleanly.
# game	hard	cli	verify	javac
36cardtrick	0	0	0	0
aceofskies	0	0	0	0
arcanistsmulti	0	0	0	0
armiesofgielinor	0	0	0	0
bachelorfridge	0	0	0	0
bouncedown	0	0	0	0
brickabrac	0	0	0	0
chess	0	0	0	0
confined	0	0	0	0
crazycrystals	0	0	0	0
dekobloko	0	0	0	0
drphlogistonsavestheearth	0	0	0	0
dungeonassault	0	0	0	0
escapevector	0	0	0	0
fleacircus	0	0	0	0
geoblox	0	0	0	0
holdtheline	0	0	0	0
hostilespawn_vengeance	0	0	0	0
kickabout	0	0	0	0
lexicominos	0	0	0	0
minerdisturbance	0	0	0	0
monkeypuzzle2	0	0	0	0
orbdefence	0	0	0	0
pixelate	0	0	0	0
pool	0	0	0	0
shatteredplans	0	0	0	0
solknight	0	0	0	0
starcannon	0	0	0	0
steelsentinels	0	0	0	0
stellarshard	0	0	0	0
sumoblitz	0	0	0	0
terraphoenix	0	0	0	0
tetralink	0	0	0	0
tombracer	0	0	0	0
torchallenge	0	0	0	0
torquing	0	0	0	0
trackcontroller	0	0	0	0
transmogrify	0	0	0	0
vertigo2	0	0	0	0
virogrid	0	0	0	0
voidhunters	0	0	0	0
wizardrun	0	0	0	0
zombiedawn	0	0	0	0
zombiedawnmulti	0	0	0	0
