idx	game	class	action	profile	baseline	candidate	bad	error
1	36cardtrick	vj	baseline		2	2	true	
2	aceofskies	fg	candidate	no-terminal-extract	15	7	false	
3	aceofskies	vp	baseline		2	2	true	
4	arcanistsmulti	le	baseline		4	4	false	
5	arcanistsmulti	lm	baseline		8	8	false	
6	arcanistsmulti	tj	candidate	default	3	0	false	
7	arcanistsmulti	de	baseline		2	2	true	
8	arcanistsmulti	nf	baseline		0	0	true	
9	armiesofgielinor	qn	baseline		2	2	true	
10	armiesofgielinor	ej	baseline		5	5	false	
11	armiesofgielinor	bm	baseline		3	5	false	
12	armiesofgielinor	cw	candidate	default	8	5	false	
13	armiesofgielinor	wa	baseline		2	2	false	
14	bachelorfridge	dg	baseline		2	2	true	
15	bachelorfridge	gt	baseline		1	1	false	
16	bouncedown	na	baseline		2	2	true	
17	brickabrac	sa	baseline		1	1	false	
18	brickabrac	jq	candidate	default	2	0	false	
19	brickabrac	mh	baseline		7	7	false	
20	brickabrac	nh	candidate	no-terminal-tail-clone	17	7	false	
